Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL,Microsoft SQL Server;MySQL,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,Retail and Consumer Services,Bing AI,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++,Unknown,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT,GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Java;PHP;Scala;SQL,BigQuery;Microsoft SQL Server,Google Cloud;Managed Hosting,WordPress,Legal Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, QA or test",Some college/university study without earning a degree,Dart;Java,Unknown,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;Replit Ghostwriter,"Student, full-time;Employed, part-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, game or graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;C++;HTML/CSS;JavaScript;Rust;TypeScript,Unknown,Unknown,Unknown,Retail and Consumer Services,ChatGPT,Replit Ghostwriter,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++,Unknown,Unknown,Unknown,Oil & Gas,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Groovy;HTML/CSS;Java;JavaScript;SQL,MongoDB;MySQL,Amazon Web Services (AWS),Node.js;React;Spring Boot,Oil & Gas,Unknown,AWS CodeWhisperer,"Employed, full-time"
Umhlanga Campus,Computer Science,I code primarily as a hobby,Other (please specify):,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript;PHP,MariaDB;MySQL,Unknown,Drupal,Oil & Gas,Unknown,Adrenaline;Codeium;GitHub Copilot,"Employed, part-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;RavenDB;Supabase,Amazon Web Services (AWS);Cloudflare;Firebase;Fly.io;Google Cloud;Netlify;Render;Vercel,Express;Fastify;Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js,Oil & Gas,ChatGPT,GitHub Copilot;Mintlify;Replit Ghostwriter,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;MongoDB;MySQL,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET CORE;Node.js;React;Vue.js,Insurance,ChatGPT,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,Some college/university study without earning a degree,SQL,Firebird;Microsoft Access,Unknown,Unknown,Healthcare,Unknown,GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Rust,Unknown,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,GitHub Copilot;Mintlify;Replit Ghostwriter,"Employed, full-time;Student, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,Database administrator,"Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);C#;HTML/CSS;Java;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),Elasticsearch;Microsoft Access;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Vultr,Unknown,Insurance,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I code primarily as a hobby,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Assembly;C;C#;C++,Unknown,Unknown,Unknown,Advertising Services,Bing AI,GitHub Copilot;Tabnine,"Not employed, but looking for work"
Midrand Campus,IT,I am a developer by profession,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;C++;Python,PostgreSQL;SQLite,Microsoft Azure,Unknown,Retail and Consumer Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;Java;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS),ASP.NET;jQuery,Legal Services,Unknown,Adrenaline;GitHub Copilot;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ada;C;C#;HTML/CSS;JavaScript;PHP;SQL,Elasticsearch;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;Oracle;Redis,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;React,Insurance,Bing AI;ChatGPT,Codeium,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;SQL,Microsoft SQL Server;Oracle,Unknown,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,BigQuery;SQLite,Google Cloud,Next.js,Insurance,Unknown,AWS CodeWhisperer;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;JavaScript;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,Financial Services,Unknown,AWS CodeWhisperer;Replit Ghostwriter;Tabnine,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;MySQL;PostgreSQL,Cloudflare;Digital Ocean;Vercel,Express;Next.js;Node.js;React,Other,ChatGPT,GitHub Copilot;Replit Ghostwriter,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;Swift;TypeScript,MySQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku,jQuery;Node.js;React;WordPress,"Information Services, IT, Software Development, or other Technology",Unknown,Whispr AI,"Employed, full-time"
Pretoria Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Lua;MATLAB;Python;R;Rust,BigQuery;MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,Deno,Advertising Services,Unknown,Adrenaline;GitHub Copilot,"Student, full-time"
Midrand Campus,Computer Science,I code primarily as a hobby,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Go,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Hetzner;Oracle Cloud Infrastructure (OCI),React,Other,ChatGPT;Google Bard AI,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Not employed, but looking for work;Student, part-time"
Tyger Valley Campus,Computer Science,I code primarily as a hobby,Unknown,Primary/elementary school,Assembly;Bash/Shell (all shells);C;GDScript;Haskell;Lua;Python;Rust,Unknown,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,Adrenaline;Codeium;GitHub Copilot,"Not employed, and not looking for work"
Midrand Campus,IT,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;HTML/CSS;JavaScript;Python,Unknown,Unknown,Unknown,Financial Services,Bing AI;ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot,"Employed, full-time;Student, part-time"
Midrand Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Objective-C;PHP;Ruby;SAS;SQL,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);Vercel,Angular;AngularJS;Drupal;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Ruby on Rails;Symfony;Vue.js;WordPress,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;Replit Ghostwriter;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;Java;JavaScript;Kotlin;SQL,PostgreSQL;Supabase,Digital Ocean,Spring Boot;Vue.js,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Java;JavaScript;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;React;Spring Boot;Vue.js,Oil & Gas,Bing AI,Codeium;Replit Ghostwriter,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;Python;SQL,Elasticsearch;MariaDB;MySQL;SQLite,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai",Spring Boot,Other,ChatGPT;WolframAlpha,AWS CodeWhisperer;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;TypeScript,MongoDB;SQLite,Cloudflare;Digital Ocean;Vercel,Deno;Svelte,Oil & Gas,ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Data Science,I am a developer by profession,Educator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;C;C#;C++;F#;HTML/CSS;Java;JavaScript;PowerShell;Scala;SQL,Cosmos DB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;Spring Boot,Oil & Gas,Bing AI;ChatGPT;WolframAlpha,Codeium,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Pretoria Campus,Data Science,I am a developer by profession,Unknown,Some college/university study without earning a degree,Bash/Shell (all shells);C;C++;Kotlin;PHP,MariaDB,Oracle Cloud Infrastructure (OCI),Unknown,Higher Education,ChatGPT,Adrenaline;Mintlify,"Student, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,C#;HTML/CSS;Python;SQL;Visual Basic (.Net),Microsoft SQL Server;PostgreSQL;SQLite,Digital Ocean;Microsoft Azure,ASP.NET CORE;Blazor,Retail and Consumer Services,ChatGPT;Phind,Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ada;APL;C;C#;JavaScript;Python;Rust;SQL,Microsoft SQL Server;MongoDB,Amazon Web Services (AWS),Blazor;Flask;Node.js;React,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;GitHub Copilot,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Computer Science,I am a developer by profession,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Python;R;SQL,DuckDB;MySQL;Neo4J,Unknown,Unknown,"Information Services, IT, Software Development, or other Technology",ChatGPT,Codeium,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;TypeScript,SQLite,Unknown,Unknown,Wholesale,Phind,Codeium;GitHub Copilot,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Oracle,Unknown,ASP.NET;jQuery,Higher Education,Unknown,Codeium;GitHub Copilot;Synk Code,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Computer Science,I am a developer by profession,Developer Experience,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Haskell;Java;Kotlin;Swift;TypeScript,Unknown,Unknown,Angular,Higher Education,WolframAlpha,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;Dynamodb;Elasticsearch;Microsoft SQL Server;Redis;SQLite,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET CORE,Other,Unknown,Replit Ghostwriter;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,Developer Experience,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;PHP,MySQL,Unknown,Angular;Node.js;React,Healthcare,ChatGPT,Replit Ghostwriter,"Employed, full-time"
Tyger Valley Campus,IT,I am learning to code,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Unknown,Unknown,Unknown,Retail and Consumer Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Not employed, but looking for work"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;PHP;SQL,MySQL;Redis;SQLite,Cloudflare;Digital Ocean,Laravel,Oil & Gas,Unknown,AWS CodeWhisperer;Codeium;Tabnine,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,Unknown,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",PHP;Python,BigQuery;Cloud Firestore;Firebase Realtime Database;MongoDB,Google Cloud,React;WordPress,Legal Services,Unknown,AWS CodeWhisperer,"Not employed, and not looking for work"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Kotlin,PostgreSQL,Unknown,Unknown,Wholesale,Unknown,Adrenaline;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Computer Science,I code primarily as a hobby,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;GDScript;Go;Python;SQL,Dynamodb;MariaDB;MySQL;PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai;VMware",Angular;FastAPI;Flask;Svelte,Legal Services,ChatGPT,Adrenaline,"Student, part-time"
Tyger Valley Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Fortran,Unknown,Unknown,Unknown,Legal Services,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,Unknown,Unknown,Node.js;React,Healthcare,Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go;Python;SQL,DuckDB;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS),Django;FastAPI;Flask;Svelte,Advertising Services,Bing AI;ChatGPT,Rubber Duck.AI;Synk Code,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);C#;Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MariaDB;MySQL;Oracle,Heroku,Angular;React;Spring Boot,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Research & Development role,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Assembly;Bash/Shell (all shells);C;C++,Unknown,Unknown,Unknown,Legal Services,Unknown,AWS CodeWhisperer;Replit Ghostwriter,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Swift;TypeScript,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Netlify,Express;Lit;Node.js;React,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT;Phind,Mintlify;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Midrand Campus,IT,I code primarily as a hobby,"Developer, game or graphics",Some college/university study without earning a degree,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript;Zig,Unknown,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Deno;Node.js;WordPress,Wholesale,Bing AI;ChatGPT;Phind,AWS CodeWhisperer;Mintlify,"Employed, part-time;Student, part-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Apex;C#;JavaScript;Python;Ruby,Unknown,Unknown,Node.js,Insurance,ChatGPT;Google Bard AI;Neeva AI,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;SQL,PostgreSQL;SQLite,Amazon Web Services (AWS),Express;Node.js;Vue.js,Other,ChatGPT;Google Bard AI,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, game or graphics",Some college/university study without earning a degree,C++;Java,MySQL,Amazon Web Services (AWS);Heroku,Unknown,Higher Education,Unknown,AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed;Student, full-time;Not employed, and not looking for work"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, QA or test",Some college/university study without earning a degree,Bash/Shell (all shells);MATLAB;Python,Unknown,Unknown,Unknown,Retail and Consumer Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Swift,Unknown,Firebase,Unknown,Advertising Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, front-end",Primary/elementary school,HTML/CSS;JavaScript;PHP;Python;SQL,MongoDB;MySQL,Unknown,Express;jQuery;Node.js;React;WordPress,Insurance,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Independent contractor, freelancer, or self-employed"
Midrand Campus,Computer Science,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;OCaml;Python;Scala;SQL;TypeScript,MySQL;SQLite,Cloudflare;Fly.io;Google Cloud,Django;Play Framework;React,Other,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Haskell;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Unknown,Unknown,Legal Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,Cloud infrastructure engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;Python,Unknown,Unknown,Unknown,Higher Education,Bing AI;ChatGPT;Phind,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,"I used to be a developer by profession, but no longer am","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;JavaScript;SQL;VBA,MariaDB;Microsoft Access;MySQL;SQLite,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE,Wholesale,Unknown,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Midrand Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;R,Unknown,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,Unknown,Legal Services,Unknown,GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Perl;Python,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),Unknown,Higher Education,Unknown,Adrenaline;Codeium;GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C++;Go;Haskell;HTML/CSS;Java;Rust;SQL;Zig,PostgreSQL,"Linode, now Akamai;Vultr",Unknown,Advertising Services,ChatGPT;WolframAlpha,Synk Code,"Student, full-time"
Nelson Mandela Bay Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust,Cloud Firestore,Amazon Web Services (AWS);Cloudflare;Firebase;OVH,FastAPI;Node.js,Other,ChatGPT;Phind,Whispr AI,"Student, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, front-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;JavaScript;PHP,Unknown,Unknown,React,Advertising Services,Unknown,GitHub Copilot;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;PHP;SQL;Swift,MariaDB;Microsoft SQL Server,Unknown,jQuery;Symfony,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;TypeScript,Dynamodb,Amazon Web Services (AWS);Vercel,Next.js,Higher Education,Unknown,AWS CodeWhisperer;Rubber Duck.AI,"Independent contractor, freelancer, or self-employed"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;Swift;TypeScript,Cloud Firestore;MariaDB;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Netlify;Vercel,CodeIgniter;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js;WordPress,"Information Services, IT, Software Development, or other Technology",Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Umhlanga Campus,IT,I code primarily as a hobby,Other (please specify):,Some college/university study without earning a degree,Lua;Python;Rust,Unknown,Unknown,FastAPI;Svelte,Wholesale,ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",Java;JavaScript;Kotlin;SQL;TypeScript,H2;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare,Angular;AngularJS;Express;Node.js;Vue.js,Retail and Consumer Services,ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
Midrand Campus,IT,I code primarily as a hobby,Unknown,Primary/elementary school,C;Python,PostgreSQL,Vultr,Unknown,Other,ChatGPT;WolframAlpha,GitHub Copilot,"Student, full-time;Not employed, and not looking for work"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,Digital Ocean;Heroku;Microsoft Azure;VMware,ASP.NET CORE;React,Other,ChatGPT,GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python,PostgreSQL;Redis,Digital Ocean,Django;FastAPI,Legal Services,Unknown,Synk Code;Tabnine;Whispr AI,"Employed, full-time;Independent contractor, freelancer, or self-employed"
